Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
HL45;XVB-C4B5;HHLAMP_HL112;SCHNEIDER;ELEMENTO LUMINOSO LAMPEGGIANTE ARANCIONE;1;;DHH0090;;0.00;0.00;;57;R;
HA1;XVB-C21;HHLAMP_HL116;SCHNEIDER;BASE PER COLONNA LUMINOSA;1;;DHH0090;;0.00;0.00;;57;R;
HA1;XVB-Z02;HHLAMP_HL117;SCHNEIDER;ZOCCOLO CON TUBO FISSAGGIO COLONNA;1;;DHH0090;;0.00;0.00;;57;R;
HL0;ZB4-BV013;HHLAMP_HL166;SCHNEIDER;TESTA PER LAMPADA SPIA BIANCA;1;;DHH0090;;0.00;0.00;;51;R;
HL0;ZB4-BVB1;HHLAMP_HL167;SCHNEIDER;CORPO PER LAMPADA SPIA CON LED BIANCO;1;;DHH0090;;0.00;0.00;;51;R;
HL25;ZB4-BV043;HHLAMP_HL172;SCHNEIDER;TESTA PER LAMPADA SPIA ROSSA;1;;DHH0090;;0.00;0.00;;51;R;
HL25;ZB4-BVB4;HHLAMP_HL173;SCHNEIDER;CORPO PER LAMPADA SPIA CON LED ROSSO;1;;DHH0090;;0.00;0.00;;51;R;
SB6A;ZB4-BVB6;HHLAMP_HL174;SCHNEIDER;CORPO PER LAMPADA SPIA CON LED BLU;1;;DHH0090;;0.00;0.00;;46;R;
SB6B;ZB4-BVB6;HHLAMP_HL174;SCHNEIDER;CORPO PER LAMPADA SPIA CON LED BLU;1;;DHH0090;;0.00;0.00;;46;R;
SB6D;ZB4-BVB6;HHLAMP_HL174;SCHNEIDER;CORPO PER LAMPADA SPIA CON LED BLU;1;;DHH0090;;0.00;0.00;;46;R;
E1DI;6ES7 321-1BH02-0AA0;HHPLC0_E0054;SIEMENS;MODULO 16 INGRESSI DIGITALI;1;;DHH0090;;;0.00;;21;R;
E1DO;6ES7 322-1BH01-0AA0;HHPLC0_E0055;SIEMENS;MODULO 16 USCITE DIGITALI;1;;DHH0090;;;0.00;;25;R;
E1AO;6ES7 332-5HD01-0AB0;HHPLC0_E0057;SIEMENS;MODULO 4 USCITE ANALOGICHE;1;;DHH0090;;;0.00;;27;R;
E1AO;6ES7 332-5HD01-0AB0;HHPLC0_E0057;SIEMENS;MODULO 4 USCITE ANALOGICHE;1;;DHH0090;;;0.00;;28;R;
E1C;6ES7 953-8LF30-0AA0;HHPLC0_E0130;SIEMENS;MODULO DI MEMORIA 64KB;1;;DHH0090;;;0.00;;16;R;
E1C/B;750-400;HHPLC0_E0136;WAGO;MODULO 2 INGRESSI DIGITALI;10;;DHH0090;;;0.00;;54;R;
E1C/E;750-400;HHPLC0_E0136;WAGO;MODULO 2 INGRESSI DIGITALI;16;;DHH0090;;;0.00;;64;R;
E1C/C;750-400;HHPLC0_E0136;WAGO;MODULO 2 INGRESSI DIGITALI;10;;DHH0101;;;0.00;;58;R;
E1C/D;750-400;HHPLC0_E0136;WAGO;MODULO 2 INGRESSI DIGITALI;4;;DHH0101;;;0.00;;62;R;
E1C/B;750-501;HHPLC0_E0137;WAGO;MODULO 2 USCITE DIGITALI;4;;DHH0090;;;0.00;;54;R;
E1C/E;750-501;HHPLC0_E0137;WAGO;MODULO 2 USCITE DIGITALI;8;;DHH0090;;;0.00;;64;R;
E1C/C;750-501;HHPLC0_E0137;WAGO;MODULO 2 USCITE DIGITALI;1;;DHH0101;;;0.00;;58;R;
E1C/D;750-501;HHPLC0_E0137;WAGO;MODULO 2 USCITE DIGITALI;3;;DHH0101;;;0.00;;62;R;
E1C/B;750-600;HHPLC0_E0139;WAGO;MODULO TERMINATORE;1;;DHH0090;;;0.00;;54;R;
E1C/E;750-600;HHPLC0_E0139;WAGO;MODULO TERMINATORE;1;;DHH0090;;;0.00;;64;R;
