Sigla;Codice catalogo;Codice interno;Costruttore;Descrizione;Qta;Ubicazione;Quadro;Gr_Funzione;Prezzo;Sconto;Dimensioni;Foglio;Note;Note Tecniche
QS0;GS2 AE22;HHSEZ0_QS048;SCHNEIDER;ALBERO DI RINVIO PER BLOCCO PORTA;1;;DHH0090;;0.00;0.00;;2;R;
QS0;GS2 AH430;HHSEZ0_QS081;SCHNEIDER;ATTUATORE PER INTERRUTTORE BLOCCO PORTA;1;;DHH0090;;0.00;0.00;;2;R;
HA1;XVB-C9B;HHSIRE_HA002;SCHNEIDER;SIRENA 12-48 VAC/DC A SUONO CONTINUO PER COLONNA;1;;DHH0090;;0.00;0.00;;57;R;
KM0;LA-DN22;HHTELE_KM010;SCHNEIDER;CONTATTO AUSILIARIO - 2 N.O. + 2 N.C.;1;;DHH0090;;0.00;0.00;;47;R;
KM6;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM7;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM8;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM9A;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM9B;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM9C;LC1-D09BL;HHTELE_KM057;SCHNEIDER;TELERUTTORE 9A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;24;R;
KM0;LC1-D18BL;HHTELE_KM060;SCHNEIDER;TELERUTTORE 18A - 24VDC - CONTATTO N.C.;1;;DHH0090;;0.00;0.00;;47;R;
EV1;SK 3238.080;HHVENT_EV009;RITTAL;CUFFIA DI PROTEZIONE PER VENTOLE / FILTRI;2;;DHH0090;;;0.00;;15;R;
EV1;SK 3238.200;HHVENT_EV011;RITTAL;FILTRO DI USCITA PER ELETTROVENTILATORE;1;;DHH0090;;;0.00;;15;R;
EV1;SK 3238.124;HHVENT_EV013;RITTAL;ELETTROVENTILATORE CON FILTRO 24VDC;1;;DHH0090;;;0.00;;15;R;
E1C/E;1656725;HHCONN_X0077;PHOENIX CONTACT;CONNETTORE RJ45 8 POLI CONNESSIONE RAPIDA;4;;DHH0101;;;0.00;;62;R;
B1;EVT005;HHCAVO_CV052;IFM;CAVO CONN.M12 90GR.PER AMB.AGGRESS.10M  ;1;;DHH0210;;;0.00;;65;R;
